file,forwarder_company,shipper_company,consignee_company
236084-SZAE18011387 HAWB_305720180119032627-Page(3).jpg,,,
236085-SZAE18011387 HAWB_305720180119032627-Page(4).jpg,,,
236086-bom_124820180119023619-Page(3).jpg,,,
236087-SZAE18011394 HAWB_230020180119004618-Page(1).jpg,,,
236088-Pre-Alert20180119014252970_304220180118231818-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
236089-AWBLayout_230020180119113914-Page(2).jpg,,,
236090-ORD3337_304220180118224106-Page(4).jpg,,,
236032-HO0000632672_124820180117103115-Page(1).jpg,,,JCB INDIA
236033-PRE-ALERT 160-40665240_113720180117113227-Page(3).jpg,,,
236036-MX-M502N_20180117_181127_328020180117154729-Page(1).jpg,,,
236037-SZAE18011375 PRE-AELRT_330720180117153948-Page(3).jpg,,,
236038-AWBLayout_304220180117152206-Page(2).jpg,,,
236039-HAWB -S00086164_334020180117142606-Page(1).jpg,,,
236040-DEL_124820180117135114-Page(4).jpg,,,
236048-Sharp MX-4101 Flyg_20180117_124406_249820180118101024-Page(2).jpg,,,
236049-[Untitled]_230020180118024615-Page(3).jpg,,,
236050-HouseAirwayBill55218-01196_304220180118012610-Page(1).jpg,TRANSGROUP INTERNATIONAL,,
236051-JFK6215_230020180117230619-Page(4).jpg,,,
236052-JFK6215_230020180117230619-Page(5).jpg,,,
236053-JFK6233_304220180117230613-Page(3).jpg,,,
236054-JFK6165_304220180117225618-Page(4).jpg,,,
236055-44_201801172340_304220180117220610-Page(3).jpg,,,
236056-MX-M502N_20180117_213032_208020180117191749-Page(1).jpg,,,
236057-MX-M502N_20180118_143354_230020180118120418-Page(1).jpg,,,
235965-JFK6078_304120180113235635-Page(3).jpg,,,
235966-JFK5983_229920180113235708-Page(4).jpg,,,
235967-JFK5983_229920180113235708-Page(5).jpg,,,
235968-JFK5983_229920180113235708-Page(6).jpg,,,
235969-JFK5983_229920180113235708-Page(7).jpg,,,
235970-JFK6014_304120180113235355-Page(3).jpg,,,
235971-Email Copy - 098-77505142_327920180113161157-Page(3).jpg,,,
235972-Email Copy - 098-77505142_327920180113161157-Page(4).jpg,,,
235973-176-8498 4712 J&CDEL_304120180113130232-Page(3).jpg,,,
235974-176-8498 4712 J&CDEL_304120180113130232-Page(8).jpg,,,
235975-Pre-Alert20180113143802873_304120180113121220-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE’ .,,
235976-Pre-Alert20180113143802873_304120180113121220-Page(6).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
236092-33_201801190111_304220180118231311-Page(3).jpg,,,
236093-4141_001_178520180118210143-Page(3).jpg,,,
236094-MIA1485_304220180118205211-Page(3).jpg,CONCORDIA INTERNATIONAL FORWARDING CORP,,
236095-DEL Stoll_249820180118204610-Page(1).jpg,,,
236096-DEL DLaPorte_124820180118204610-Page(1).jpg,,,
236097-DEL Hengst_130120180118204610-Page(1).jpg,,,JCB INDIA LTD .
236098-DEL Stabilus_334020180118204610-Page(1).jpg,,,JCB INDIA LTD .
236099-BOM Witzenmann_60420180118201627-Page(1).jpg,,,
236100-BOM ZF 3_328020180118201628-Page(1).jpg,,,JCB INDIA LIMITED
236101-BOM ZF_351120180118201628-Page(1).jpg,,,JCB INDIA LTD .
236102-BOM Hydac_305720180118201628-Page(1).jpg,,,JCB INDIA LTD .
236103-BOM Kampf_195520180118201628-Page(1).jpg,,,
236251-AWBLayout_230020180124171704-Page(2).jpg,,,
236260-Pre-Alert20180125030532439_60420180125004130-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
236261-lta_mail_124820180124204613-Page(1).jpg,,,JCB INDIA LIMITED
236262-Pre alert BLR_124820180124200619-Page(3).jpg,POWER AIRFREIGHT LTD,,
236263-ORD3455_304220180125034609-Page(4).jpg,,,
236264-Pre_Alert20180125051741619_304220180125025108-Page(3).jpg,GLOBAL AIRFREIGHT INTERNATIONAL PTE . LTD .,,
236265-JFK6394_304220180125012605-Page(3).jpg,,,
236266-JFK6394_304220180125012605-Page(4).jpg,,,
236267-23JAN201813164820_2022a140_130220180125113213-Page(1).jpg,,,
236268-hawb_305720180125102637-Page(1).jpg,,,
236269-hawb_124820180125102213-Page(1).jpg,"MPG TRANSITOS , S.A . 

 TECNICAS DE ELECTRONICA Y AUTOMATISMOS S.A .",,
236270-Fast B&W scan to a PDF file_4_105120180125161635-Page(2).jpg,,,
